A,5.55,0.02,179.23,1.89,0.54,0.03,1,980000000
AAV,4.14,0.03,25.6,1.03,0,0,0.1,4850000000
ADAM,1.46,0,0,60.06,0,0,1,280163587
ADVANC,214,3.19,17.76,16.68,5.68,5.75,1,2973095330
AEONTS,104.5,10.01,10.44,2.93,3.3,1.85,1,250000000
AGE,2.24,0.02,54.51,2.62,0.11,0,0.25,1530323197
AH,16.2,0.47,10.78,0.96,3.02,0.14,1,322583844
AHC,29.75,0.3,22.8,3.79,2.15,0.64,1,149909264
AI,12.5,0.23,21.78,4.05,16,2,1,500000000
AIE,4.46,0.08,21.1,2.74,0,0,1,1130000000
AIT,30.75,0.97,10.25,2.44,5.15,1,5,206320897
AJ,10.5,-0.05,-0.05,1.24,0,0,1,399439227
AKP,2.26,0.03,21.3,2.31,2.21,0.05,0.5,404000000
AKR,1.2,0,3.4,1.25,4.17,0.05,0.8,1343289404
AMATA,17,0.41,9.98,2.08,2.94,0.25,1,1067000000
AMC,2.7,0.07,27.88,0.72,6.66,0.18,1,480096277
ANAN,2.38,0.03,8.65,1.32,2.1,0.05,0.1,3333000000
AOT,203,5.23,18.27,3.14,2.27,4.6,10,1428570000
AP,5.95,0.09,8.3,1.19,4.2,0.25,1,2859920138
APCO,17.6,0.14,49.68,13.57,0.84,0.2,1,271999982
APCS,2.36,-0.06,-0.06,0.91,0,0,1,329999981
AQ,0.36,0,36.82,0.55,0,0,20,7135304819
AMARIN,13.7,0.02,12.44,1.46,0.07,0.01,1,219999865
APURE,1.62,0,29.42,1.74,0,0,0.7,649533951
ARIP,1.1,0,22.78,2.32,5.45,0.02,0.25,466000000
ARROW,7.3,0.18,10.96,2.21,4.79,0.2,1,200000000
AS,6.05,0.04,162.04,1.65,7.44,0.1,1,307407762
ASIA,84,1.43,5.39,0.45,2.38,2,10,32000000
ASIAN,3.1,0.07,0.07,0.58,0,0,1,361820468
ASIMAR,1.9,0,8.46,1.3,7.89,0.15,1,258291087
ASK,20,0.44,10.92,1.78,4.9,1,5,351895640
ASP,3.58,0.05,9.81,1.67,11.17,0.2,1,2105656044
AUCT,5.2,0.08,26.58,6.57,2.31,0.09,0.25,550000000
AYUD,34.25,1.11,13.11,1.61,5.26,1.1,1,250000000
BAFS,37,0.49,18.03,3.77,2.7,0.7,1,509997325
BANPU,29,0.7,18.59,1.01,4.14,0.7,1,2581878550
BAY,42,0.54,23.01,2.04,1.9,0.4,10,6074143747
BBL,193.5,4.7,10.3,1.2,3.36,4.5,10,1908842894
BCH,8.1,0.06,36.99,4.92,1.98,0.08,1,2493747984
BCP,29,1.13,9.94,1.1,4.66,0.75,1,1376923157
