BEAUTY,21.8,0.18,31.02,6.2,2.98,0.35,1,300000000
BEC,47.5,0.57,17.73,13.11,5.47,1.4,1,2000000000
BECL,36.75,0.9,12.83,1.53,4.35,0.9,10,770000000
BFIT,770,0.14,10.01,0.55,6.6,0.35,5,200000000
BGH,16.6,0.13,40.25,6,1.2,2,0.1,15490956540
BGT,0.92,-0.03,286.37,0.8,1.3,0.01,0.5,359512904
BH,114.5,0.88,32.83,8.17,1.66,1.2,1,728600559
BIGC,201,1.52,24.26,4.33,1.27,2.55,10,825000000
BJC,46,0.32,32.13,4.81,1.83,0.4,1,1590591400
BJCHI,39.5,0.53,12.6,2.77,6.08,2.4,1,320000000
BKD,2.44,0.02,112.27,2.95,1.84,0.04,0.5,700000000
BKI,340,5.89,18.23,1.55,2.52,2.75,10,106470000
BLA,80.75,0.9,21.49,4.07,1.13,0.51,1,1212315000
BLAND,1.7,0.1,16.74,0.73,2.35,0.04,1,20643972584
BMCL,1.29,-0.01,-0.01,3.07,0,0,1,20500000000
BOL,1.66,0.02,14.06,4.77,5.42,0.05,0.1,787500000
BROCK,787,0,0,1.16,0,0,1,1024999930
BROOK,2.22,0.08,0.08,1.94,4.05,0.07,0.5,942259120
BSBM,1.24,0.02,17.32,0.72,6.45,0.05,1,1132500000
BSM,1.91,0.03,11.24,2.03,3.84,0.07,0.5,163445000
BTC,0.88,-0.02,-0.02,6.57,0,0,1,660211226
BTS,8.85,1.08,8.34,1.82,6.71,0.21,4,11914230525
BTS-W3,0.81,1.08,1.08,1.08,0,0.21,0.21,3944626464
BTSGIF,10,10,10,0.89,0,0.15,10.8,5788000000
BWG,4.74,0.07,19.97,2.29,2.32,0.11,1,757013748
CCET,3.04,0.05,34.19,0.81,2.53,2.53,1,4249978876
CCP,6.25,0.14,7.43,2.73,1.41,0.07,1,497543569
CEI,4.58,0.12,23.47,1.19,0,0,1,188300000
CEN,2.92,-0.01,-0.01,0.84,1.71,0.05,1,630161358
CENTEL,36.25,0.37,41.66,4.54,1.1,0.4,1,1350000000
CFRESH,9.6,0.24,0.24,3.51,0,0,1,460257200
CGD,1.32,0,0,2.09,0,0,1,6982294461
CGS,1.34,-0.01,60.53,1.03,8.21,0.11,1,2589743484
CHARAN,2,1.61,16.92,0.56,2.87,1.5,10,6000000
CHG,13.2,0.11,32.43,5.26,2.05,0.09,1,1100000000
CHO,2.66,0.05,25.86,3.6,0.56,0.01,0.25,720000000
CHOTI,229,2.8,142.61,1.35,1.31,3,10,7500000
CHOW,2.78,0.05,21.27,1.68,3.6,0.1,1,800000000
CHUO,14.7,-0.17,7.59,2.5,3.74,1.1,5,22500000
CI,1.92,-0.03,5,1.05,4.95,0.07,1,719999598
CIG,0.83,0,0,1.13,0,0,0.5,601949816
CIMBT,2.12,0.02,27.63,2.01,0.47,0.01,0.5,21084878025
CITY,3.72,0.39,7.81,0.96,4.3,0.16,1,300000000
CK,22.4,0.22,12.78,2.29,1.75,0.2,1,1693896872
CKP,13.1,0.11,58.03,1.23,0,0,5,1100000000
CM,4.2,0.04,12.98,1.19,7.38,0.31,1,381145725
CMO,1.81,-0.15,-0.15,0.99,5.52,0.1,1,190757935
CNS,2.42,0.03,17.73,0.96,7.02,0.17,1,2150469000
CNT,5.95,0.05,17.05,2.71,3.36,0.05,1,1002904144
COLOR,1.35,0.01,0.01,2.63,0,0,1,581000001
CPALL,48,0.3,42.88,13.74,1.87,0.9,1,8983101348
CPF,27.5,0.28,26.32,1.91,1.82,0.25,1,7742941932
CPH,6.75,-0.76,-0.76,0.34,0,0,10,40000000
CPI,2.56,0.02,43.76,0.9,1.17,0.03,1,560568040
CPL,27.75,0.59,10.63,0.73,7.21,2,10,26399995
CPN,49.5,0.38,35,5.86,1.11,0.55,0.5,4488000000
CPNCG,10.8,10.8,10.8,0.94,7.19,0.19,10.3,426639000
CPNRF,16.5,16.5,16.5,1.95,4.18,0.05,10,2212476700
CPR,2.5,0.03,13.51,1,3.12,0.07,1,199000000
CRANE,4.82,0.27,14.78,2.26,0.18,0,1,626783520
CRYSTAL,9.8,9.8,9.8,0.9,3.83,0.2,10.6,390000000
CSC,52.25,1.4,9.08,1.2,3.35,1.75,10,52000012
CSL,10.3,0.2,14.11,5.45,6.8,0.35,0.25,594514769
CTARAF,5.2,5.2,5.2,0.53,3.62,0.12,9.84,320000000
CTW,9.75,0.09,13.34,0.88,7.18,0.7,5,397906284
CWT,1.72,-0.02,-0.02,0.89,0,0,1,361274997
CYBER,0.94,-0.01,-0.01,2.21,0,0,0.5,662953089
DCC,55.75,0.87,18.31,7.35,5.7,0.87,1,408000000
DCON,13.7,0.3,11.95,2.77,7.59,1.04,1,205434400
DELTA,60,1.12,13.37,3.21,4.5,2.7,1,1247381614
DEMCO,10.2,0.1,17.45,2.2,1.47,0.1,1,692832900
DIMET,1.03,-0.03,-0.03,1.74,0,0,0.5,180000000
DNA,1.32,-0.02,70.49,1.75,1.52,0.02,0.25,753333184
DRT,6.25,0.11,15.76,2.71,6.05,0.18,1,1047812000
DSGT,8.7,0.19,20.65,4.3,1.72,0.08,1,1259999795
DTAC,111,1.4,24.23,7.3,3.35,1.42,2,2367811000
DTC,2,0.76,419.56,1.19,1.69,1,10,85000000
DTCPF,8.9,8.9,8.9,0.83,7.98,0.36,10,409400000
E,0.91,-0.04,-0.04,0.87,0,0,1,1470355387
EA,18.8,0.12,108.78,14.55,0.11,0.02,0.1,3730000000
EARTH,5.75,0.07,17.9,3.73,0.59,0.03,1,2964123889
EASON,3.3,0.04,11.16,1.51,4.85,0.16,1,285894029
EASTW,11.2,0.22,14.14,2.26,3.75,0.22,1,1663725149
ECF,2.68,0.04,26.4,3.79,3.34,0.03,0.25,520000000
ECL,1.07,0.02,13.48,0.92,1.93,0.03,1,594776000
EE,1.12,0,188.38,2,0,0,1,2780000000
EGCO,133,4.72,9.74,0.97,4.51,3.25,10,526465000
EMC,0.83,0,0,8.29,0,0,1,2346431126
EPCO,5.05,0.1,22.85,2.83,3.11,0.09,1,625626652
ERW,4.34,0,13.57,2.13,3.49,0.15,1,2475262775
ESSO,6.1,-0.2,-0.2,0.96,0,0,4.93,3460858000
ESTAR,0.93,0.01,20.21,1.09,0,0,1,5022246185
EUREKA,3.2,0,15.93,2.37,3.57,0.11,0.5,170000000
EVER,1.66,0,0,2.52,0,0,1,2158944392
FNS,3.48,-0.1,50.58,0.54,0,0,5,247039600
FOCUS,2.08,-0.02,-0.02,1.63,0,0,1,126720000
FORTH,5.65,0.03,27.31,3.43,4.78,0.15,0.5,960000000
FPI,10.5,0.12,19.8,4.09,2.8,0.1,1,300595544
FSS,3.46,-0.02,9.02,0.97,0.77,0.03,1.6,550055032
FUTUREPF,16.9,16.9,16.9,1.39,7,0.3,10,529566100
FVC,1.85,0.01,25.3,1.8,1.89,0.03,0.5,200000000
GBX,0.91,-0.02,-0.02,0.73,2.75,0.02,1,1089076392
GC,4.46,0.1,14.29,2.13,7.17,0.14,1,200000000
GCAP,3.58,0.08,15.14,2.48,2.06,0.07,0.5,200000000
GEN,200,200,200,200,200,200,200,200000000
GENCO,1,-0.02,-0.02,0.81,0,0,1,900000000
GFPT,13.2,0.34,9.2,2.15,2.65,0.35,1,1253821000
GJS,1,-0.01,-0.01,0.45,0,0,0.69,1.05854E+11
GL,7,0.01,44.81,3.17,2.33,0.05,0.5,1026940383
GLOBAL,13.1,0.09,48.76,2.92,0.12,0.01,1,3048750120
GLOW,81.5,1.58,16.96,2.78,3.38,1.9,10,1462865035
GOLD,9.3,0.04,0.04,2.45,0,0,10,1638019003
GOLDPF,5.25,5.25,5.25,0.48,6.02,0.18,10,206000000
GRAMMY,15,-1.24,-1.24,4.2,0,0,1,636317936
GRAND,1.68,0.17,14.73,1.67,0,0,1,2751466667
GSTEL,2,-0.03,-0.03,0.55,0,0,1,34250904817
GUNKUL,16.8,0.31,35.81,4.84,0.17,0.03,1,879990265
HANA,34,1.98,7.23,1.52,4.41,1,1,804878860
HEMRAJ,3.72,0.11,8.06,2.48,4.57,0.11,0.4,9705186191
HFT,4.36,0.13,8.02,1.48,3.44,0.15,1,658434300
HMPRO,9.35,0.07,33.03,7.62,0.3,0.01,1,10959456991
HOTPOT,2.96,-0.01,36.15,2.98,2.03,0.02,0.25,406000000
HTC,12.9,0.08,16.58,1.7,3.1,0.4,1,199218000
HTECH,2.34,0.05,12.4,1.02,3.42,0.04,1,260804340
HYDRO,2.86,0,0,4.23,0,0,1,389968760
ICC,389,0.27,20.43,0.76,2.94,1.2,1,290633730
ICHI,24.5,24.5,35,35,0,0,1,1300000000
IFEC,3.98,-0.01,11,1.85,0.24,0.01,1,963404346
IFS,2.74,0.08,10.02,1.29,4.93,0.13,1,470000000
IHL,7.75,0.14,16.98,2.93,3.87,0.02,1,419998782
ILINK,13.3,0.39,17.83,2.6,0.42,0.11,1,259989682
INET,3.68,0,423.88,1.87,0,0,1,250020799
INTUCH,72,1.19,16.07,11.14,5.9,2.16,1,3206420305
IRC,15.4,0.8,8.88,1.29,5.31,0.81,1,200000000
IRCP,4.68,0.03,16.22,2.03,5.34,0.5,1,175489000
IRPC,3.42,0.02,68.73,0.92,2.92,0.1,1,20434419246
IT,3.08,-0.02,386.13,1.05,0,0,1,349398859
ITD,5.1,0.03,34.37,2.12,0,0,1,4860473010
IVL,27.25,0.08,109.02,2.18,1.03,0.14,1,4814257245
JAS,8.25,0.12,19.13,4.81,3.03,0.25,0.5,7137394378
JMART,13.4,0.2,17.24,3.8,2.74,0.15,1,524463106
JMT,15.4,0.06,71.94,7.31,1.23,0.07,1,300000000
JTS,1.56,-0.06,-0.06,0.91,0,0,1,706457300
JUBILE,27,0.26,24.15,7,2.59,0.55,1,174273125
JUTHA,4.06,-0.14,-0.14,0.94,0,0,3,138245071
KAMART,5.25,0.06,21.62,4.99,4.28,0.06,0.6,659568809
KASET,2.28,-0.06,-0.06,2.18,0,0,1,225000000
KBANK,204,4.99,11.31,2.11,1.72,3,10,2393260193
KBS,11.5,0.48,13.82,1.69,4.35,0.3,1,550000000
KC,0.85,-0.02,392.3,0.54,0,0,1,875000000
KCAR,10.9,0.2,12.54,1.63,5.78,0.26,1,250000000
KCE,36.5,0.89,15.15,4.17,1.92,0.5,1,557927681
KGI,3.14,0.09,9.57,1.19,11.46,0.36,1,1991763130
KIAT,6.8,0.09,14.2,2.36,5.15,0.1,1,219999587
KKP,45.75,0.83,9.71,1.07,5.78,1.65,10,839843459
KKC,2.62,-0.02,-0.02,1.05,0,0,1,1000000000
KMC,1,1,1,1,1,1,1,1000000000
KSL,14.4,0.63,13.46,1.96,2.43,0.35,1,1704646884
KTB,21.2,0.59,8.8,1.37,4.15,0.88,5.15,13976061250
KTC,43.75,1.38,9.28,1.74,4.57,2,10,257833407
KTIS,9.85,9.85,29.15,29.15,3.05,0.3,1,3860000000
KTP,1.82,-0.13,-0.13,1.59,0,0,10,220000000
KYE,278,23,12.09,1.39,4.14,11.5,10,22000000
LALIN,4.12,0.15,7.97,0.77,5.95,0.12,1,825000000
LANNA,14,0.41,12.06,1.75,5.36,0.4,1,524999679
LEE,3.16,0.04,11.81,1.13,6.96,0.22,1,922180251
LH,9.95,0.14,15.4,2.85,4.02,0.15,1,10025921523
LHPF,9.25,9.25,9.25,0.92,7.57,0.35,10,330000000
LHBANK,1.63,0.02,23.6,1.4,3.38,0.03,1,13182366596
LHK,3.36,0.39,8.66,1.01,6.55,0.1,1,383000000
LIVE,0.32,0,51.89,2.62,0,0,0.1,5665461296
LOXLEY,4.4,0.05,29.48,1.76,2.16,0.09,1,2099954770
LPN,18.9,0.24,12.03,3.06,4.44,0.58,1,1475698768
LRH,32.25,0.63,35.73,0.48,1.05,0.34,10,166682701
LST,4.02,0.02,29,1.3,4.98,0.2,1,820000000
LUXF,5.15,5.15,5.15,0.48,5.83,0.14,10,196500000
LVT,196,-0.15,-0.15,1.1,0,0,1,692095099
M,60.25,0.52,27,4.2,2.66,1.6,1,905850000
MACO,14.1,0.15,23.26,5.78,3.55,0.3,1,300896950
MAJOR,18.6,0.16,18.53,2.72,5.38,0.5,1,887576343
MAKRO,42.25,0.26,44.48,16.5,1.89,0.3,0.5,4800000000
MALEE,42,0.61,20.42,5.43,2.53,0.55,1,140000000
MATCH,3.28,0.05,21.87,1.37,2.7,0.1,1,531629851
MATI,6.4,-0.27,15.49,0.71,6.25,0.4,1,185349200
MAX,0.53,0,0,17.59,0,0,1,8833263204
MBAX,4.44,0.13,61.95,1.77,2.25,0.1,1,128000000
MBK,14.6,0.21,10.94,1.6,3.94,3,1,1886291000
MBKET,22.1,0.22,12.38,2.33,11.22,2.13,5,570814500
M-CHAI,183,0.76,18.41,3.36,2.11,3.87,10,16000000
MC,19,0.26,20.02,4.18,3.84,0.23,0.5,800000000
MCOT,26,0.29,13.23,2.21,8.12,1.11,5,687099210
MCS,5.15,0.08,8.66,1.14,3.88,0.2,1,500000000
MDX,11.1,0.39,14.68,3.08,0,0,10,475593142
MEGA,21.5,0.07,32.79,4.96,0.84,0.18,0.5,865248608
MFC,34.5,0.31,18.77,2.93,7.25,2.5,1,120000000
MFEC,7.55,0.08,17.09,1.77,5.95,0.45,1,441453555
MIDA,0.79,0.01,21.7,0.51,0.64,0,0.5,2276451370
MINT,28,0.35,27.25,4.19,1.25,0.35,1,4001556662
MJD,2.5,0.07,0.07,0.89,0,0,1,860411939
MJLF,11.8,11.8,11.8,0.98,8.39,0.21,10,330000000
MK,3.76,0.05,8.02,0.61,7.98,0.2,1,860384157
ML,1.03,0.03,9.25,0.64,0.49,0,0.5,879999883
MLINK,2.82,-0.11,-0.11,9.88,0,0,1,540000000
MNIT,3.62,3.62,3.62,0.69,7.52,0.05,5,138000000
MNIT2,9.2,9.2,9.2,0.87,6.01,0.16,10,100470000
MNRF,9.4,9.4,9.4,0.77,6.28,0.17,10,107500000
MODERN,9.3,0.14,15.71,2.32,5.91,0.3,1,750000000
MONO,8,0.03,30.76,3.57,3.64,0.1,0.1,1400000000
MPIC,2.6,0,0,16.76,0,0,1,657829978
MSC,4.36,0.06,8.99,1.2,6.88,0.3,1,360000000
MTI,128,4.88,9.86,1.91,4.09,5.24,10,59000000
NBC,3.6,0.01,60.61,1.33,2.4,0.03,1,534422647
NCH,1.38,0,17.01,0.71,2.46,0.03,1,1185985052
NEP,1.18,-0.02,-0.02,1.97,0,0,1,1446334001
NEW,1,0.37,39.91,1.73,0.57,0.3,10,10000000
NIPPON,1.57,-0.06,-0.06,1.12,0,0,1,366018215
NMG,1.31,0,22.88,1.3,1.53,0.02,0.53,3304200570
NNCL,2.26,-0.01,13.75,1.26,4.41,0.1,1,1551659630
NOBLE,10.1,0.25,20.87,1.06,2.97,0.3,3,456471175
NOK,17.6,0.07,15.91,2.4,5.85,0.49,1,625000000
N-PARK,0.05,0,65.46,2.04,0,0,1,1.80638E+11
NSI,65,0.5,6.8,0.82,10,6.5,10,13900000
NTV,32.5,0.46,20.87,4.3,2.8,0.91,1,160000000
NUSA,0.84,0.01,0.01,0.83,0,0,1,2823567377
NWR,2.24,0.01,335.02,1.48,0,0,1,1974801416
NYT,18,0.18,28.89,3.02,2.78,0.5,1,620000000
OCEAN,1.59,0.01,36.13,3.66,0.94,0.01,0.25,440000000
OFM,54,0.44,38.73,3.67,0.93,0.5,1,320000000
OISHI,93,0.62,35.91,4.95,1.4,1,2,187500000
OTO,7.05,7.05,22.57,22.57,0,0,1,280000000
PACE,1.97,-0.03,-0.03,1.5,0,0,1,2054265670
PAE,1,-0.03,-0.03,253.1,0,0,1,1679078349
PAP,5.4,0.16,11.25,1.52,7.41,0.4,1,660000000
PATO,12.6,0.16,12.31,3.26,7.3,0.92,1,140000000
PB,45.75,0.52,20.99,4.77,2.3,0.6,1,450000000
PDI,16.3,0.97,0.97,1.1,1.84,0.3,10,226000000
PE,0.89,0,39.61,1.45,0,0,1,800000000
PERM,1.22,0.03,0.03,0.71,0,0,1,500000000
PF,1.31,0.01,97.43,0.87,0,0,1,5782930655
PG,11.3,0.2,14.21,0.71,3.98,0.45,1,96000000
PHOL,4.18,0.09,14.55,2.1,4.59,0.1,1,161999986
PICO,2,0.02,13.57,0.99,5,0.1,1,215294559
PJW,3.62,0.05,16.11,2.09,2.76,0.1,0.5,552000000
PL,4.54,0.09,10.94,0.95,6.17,0.28,1,447369569
PLE,2.16,0.1,16.08,0.98,4.42,0.09,1,1078462566
PM,9.95,0.22,14,3.62,5.03,0.31,1,598245300
POPF,12.4,12.4,12.4,1.09,8.27,0.26,10,342000000
PPM,6.65,0.08,41.1,1.85,1.5,0.1,1,160000000
PPP,6.1,0.13,12.72,2.77,0.82,0.05,1,300000000
PPS,1.26,0.02,20.31,2.71,3.17,0.04,0.25,400000000
PR,45,0.7,13.66,2.11,3.53,0.99,1,149704014
PRANDA,7.1,0.02,14.93,1.06,2.81,0.2,1,409529000
PREB,8.05,0.18,9.21,2.13,4.97,0.4,1,308676462
PRECHA,1.45,-0.02,-0.02,0.8,3.45,0.05,1,336000000
PRIN,1.6,0.04,10.28,0.5,1.25,0.02,1,1219971755
PS,28,0.48,10.22,2.39,3.04,0.85,1,2224201900
PSL,25.75,0.13,68.49,1.73,1.55,0.1,1,1039520600
PT,7.9,0.11,12.13,2.73,5.06,0.25,1,141944471
PTG,3.56,0.06,20.27,1.8,3.09,0.05,1,1670000000
PTL,11.6,-0.6,-0.6,1.09,0,0,1,800000000
PTT,298,9.6,9.9,1.2,4.36,8,10,2856299625
PTTEP,166.5,3.12,13.68,1.74,3.6,3,1,3969985400
PTTGC,67.5,1.4,11.07,1.25,5.04,1.78,10,4508849117
PYLON,6.2,0.16,9.81,2.63,4.84,0.3,1,278029122
Q-CON,10.1,0.17,16.31,2.07,2.48,0.25,1,400000000
QH,3.48,0.07,9.54,1.78,4.6,0.09,1,9183767553
QHHR,9.05,9.05,9.05,0.87,8.18,0.37,10,336000000
QHOP,5.25,5.25,5.25,0.57,3.81,3.81,9.55,191300000
QHPF,9.05,9.05,9.05,0.84,8.02,0.19,9.87,797000000
QLT,11.9,0.31,12.04,2.95,5.43,0.4,1,96895485
QTC,3.84,-0.02,12.68,1.64,5.47,0.21,1,200000000
RASA,3.96,-0.04,-0.04,3.06,0,0,1,549998401
RATCH,52.75,1.63,11.96,1.24,4.3,1.17,10,1450000000
RCI,3.36,0.01,34.08,2.62,0,0,1,388735362
RCL,6.8,-0.19,-0.19,0.62,0,0,1,828750000
RICH,0.88,-0.05,-0.05,3.37,0,0,1,1002913226
RML,1.77,0.1,6.54,2.37,0,0,1,3575424125
ROBINS,56.75,0.49,31.95,5.31,1.59,0.9,3.55,1110661133
ROJNA,8.15,-0.05,77.1,1.75,3.66,0.3,1,1435223909
RPC,1.8,-0.03,-0.03,1.48,0,0,1,1304664125
RS,8.35,0,26.06,5.37,3.94,0.2,1,1022346046
SABINA,23.4,0.1,64.56,5.39,0.56,0.06,1,347500000
SALEE,8.05,0.13,16.68,4.09,0.23,0.02,1,380121017
SAM,1.6,0.04,21.13,0.78,6.25,0.1,1,1045125093
SAMART,20.7,0.4,13.73,2.98,3.86,0.45,1,1006503910
SAMCO,2.56,0.02,21.39,0.68,2.73,0.07,1,589410340
SAMTEL,15.3,0.34,11.73,2.79,4.89,0.45,1,618000000
SANKO,1.23,-0.01,-0.01,1.97,3.24,0,0.5,220895733
SAT,18.2,0.4,8.64,1.54,4.12,0.5,1,425193894
SAWAD,15.2,15.2,24.58,24.58,0,0,1,1000000000
SAUCE,26.25,0.3,20.14,3.6,5.14,1.35,1,360000000
SC,3.28,0.02,12.89,1.15,3.66,0.12,1,3714966616
SCB,167.5,3.86,11.33,2.19,3.13,3.75,10,3394083189
SCC,444,6.98,14.76,3.31,3.49,7,1,1200000000
SCCC,446,8.27,18.72,4.84,3.36,7,10,230000000
SCG,4.96,0.06,16.5,1.9,4.03,0.2,1,955000000
SCP,10.7,0.37,7.55,2.51,2.8,0.3,1,300000000
SCSMG,31.5,1.23,8.51,2.25,0,0,5,222890431
SEAFCO,5.05,0.09,12.56,1.87,3.66,0.1,1,291110727
SEAOIL,7.9,0.09,19.83,3.4,0.2,0.01,1,209998052
SE-ED,4.5,0.03,32.75,1.91,4,0.18,1,391944418
SENA,2.76,0.05,7.77,0.81,5.47,0.1,1,714704825
SF,5.5,0.1,15.39,1.32,0.22,0.01,1,1480515030
SGP,16.5,-0.18,10.59,1.62,3.64,0.5,1,918931500
SIAM,2.22,-0.32,-0.32,0.56,0,0,1,593125849
SIM,3.08,0.05,16.41,4.01,3.55,0.06,0.1,4400250000
SIMAT,5.2,-0.05,-0.05,2.88,0.19,0.01,1,332860620
SINGER,20,0.38,16.16,3.52,2.25,0.45,1,270000000
SIRI,2.02,0.09,6.81,1.08,4.93,0.1,1.07,9595924235
SIS,4.46,0.12,8.61,1.11,4.48,0.2,1,350198655
SITHAI,2.36,0.39,13.56,1.43,4.24,1,1,2709904800
SKR,63.5,0.41,40.32,4.57,1.26,0.8,6.5,100000000
SLC,0.44,-0.03,-0.03,2.24,0,0,1,3722258000
SMIT,4.7,0.1,10.42,1.26,5.53,0.16,1,530000000
SMM,1.71,-0.04,-0.04,1.08,1.09,0.02,1,288937689
SMT,7.15,0.06,0.06,1.55,0,0,2,418237983
SNC,18.8,0.54,12.92,2.46,5.32,0.4,1,287777339
SOLAR,6.9,0.08,27.66,2.2,0.72,0.05,1,494624723
SORKON,78,1.25,19.61,2.95,3.12,2.43,10,24255000
SPACK,2.22,-0.05,-0.05,1.06,1.22,0,1,300000000
SPALI,21.8,0.43,11.87,2.5,3.21,0.4,1,1716553249
SPC,41,0.54,14.49,1.31,2.44,1,1,323379803
SPCG,27,0.32,33.64,7.8,0,0,1,839991048
SPF,16.8,16.8,16.8,1.52,7.44,0.34,9.69,950000000
SPI,24.2,0.41,10.25,0.67,0.95,0.23,1,494034300
SPORT,2.84,-0.08,-0.08,1.43,2.38,0.02,1,314432938
SPPT,2.4,-0.02,111.63,1.03,2.08,0.05,1,232005000
SPVI,1.42,0.01,29.23,2.07,1.15,0.01,0.5,400000000
SRICHA,34.5,0.42,11.61,4.22,7.82,1.55,1,306218700
SSC,78.5,-0.45,-0.45,2.52,0,0,1,265900484
SSF,9.85,0.11,41.14,1.65,3.55,0.35,1,269999000
SSI,0.41,-0.04,-0.04,1.59,0,0,1,32166258124
SSSC,50,1.54,6.89,1.26,7.6,3.8,10,63999788
SST,19.5,-0.08,-0.08,3.89,0.11,0.02,1,282527203
STA,14.7,0.31,13.8,0.92,4.42,0.65,1,1280000000
STANLY,225,19.41,11.59,1.59,2.67,6,5,76625000
STAR,2,0,0,0.98,0,0,0.7,136000051
STEC,23.8,0.27,20.8,4.56,2.1,0.5,1,1525106540
STPI,20.5,0.34,15.3,4.71,1.66,0.34,0.25,1477443980
SUC,45,0.48,15.9,0.78,4.44,2,10,300000000
SUPER,9.8,0,0,17.55,0,0,1,1679108892
SUSCO,3.18,0.02,29.93,1.28,3.77,0.06,1,1100000000
SUTHA,7.4,7.4,21.34,21.34,0,0,1,300000000
SVH,254,3.46,23.81,4.35,2.17,5.5,10,100000000
SVI,4.3,0.11,5.88,2.15,3.48,0.08,1,2265749381
SVOA,1.49,0.02,24.21,0.8,0.81,0.01,1,707000000
SWC,7.25,0.18,11.17,1.9,6.07,0.23,1,150000000
SYMC,16.9,0.16,21.02,3.84,3.43,0.43,1,300224900
SYNEX,2.88,0.05,15.93,1.06,5.21,0.15,1,770328649
SYNTEC,1.75,0.05,16.79,1.11,2.86,0.05,1,1600000000
TAE,4.5,4.5,25.12,25.12,0,0,1,1000000000
TAPAC,2.18,0.02,12.77,0.92,5.05,0.1,1,151511439
TASCO,63,1.66,14.23,1.88,1.59,1,10,152581457
TCAP,34.75,1.1,4.87,0.86,4.6,1,10,1277816427
TCB,25.25,3.76,6.72,0.66,1.74,0.44,1,300000000
TCC,1.41,0.01,0.01,1.98,0,0,0.5,1186783084
TCCC,29,0.59,7.24,2.57,7.59,2.2,3,584714068
TCJ,12.4,0.21,13.8,0.86,0,0,10,85591310
TCMC,2.6,0.02,53.23,1.04,1.54,0.04,1.1,342249797
TCOAT,21.6,0.11,14.78,0.52,3.01,0.65,10,10500000
TEAM,1.48,0.01,38.69,1.18,0,0,1,637063385
TF,166.5,2.06,18.55,2.93,2.25,1.75,1,180000000
TFD,6.65,-0.05,77.34,6.12,4.06,0.05,1,1083501405
TFI,1.42,-0.02,-0.02,2.31,0,0,1,2047500000
TFUND,11.1,11.1,11.1,1.01,6.85,0.18,10,1149541940
TGCI,3.16,0.04,24.35,1.78,1.9,0.06,1,1697621233
TGPRO,0.54,0,136.24,3.23,0,0,0.2,5298704912
TGROWTH,9.9,9.9,9.9,0.96,0,0.27,10,555000000
TH,2.36,0,0,2.33,0,0,1,610000000
THAI,15.9,-1.21,-1.21,0.64,0,0,10,2182771917
THANI,4.2,0.1,11.19,2.47,0.57,0.03,1,2013522778
THCOM,40,0.36,36.65,2.85,1.12,0.45,5,1095937540
THRE,3.36,0.06,0.06,4.62,0,0,1,3512494860
