SYNEX,6/7/2015,4.46,4.62,4.46,5695309
SYMC,6/7/2015,13.40,13.50,13.30,275600
SWC,6/7/2015,7.85,8.05,7.85,342100
SVOA,6/7/2015,1.68,1.71,1.57,45928870
SVI,6/7/2015,4.24,4.40,4.20,12799078
SVH,6/7/2015,310.00,310.00,308.00,1200
SUTHA,6/7/2015,7.05,7.10,7.00,363100
SUSCO,6/7/2015,3.32,3.36,3.32,1522100
SUPER,6/7/2015,1.80,1.84,1.80,73773204
SUC,6/7/2015,37.75,38.00,37.50,21878
STPI,6/7/2015,16.80,17.10,16.70,4437619
STEC,6/7/2015,22.90,23.20,22.80,4905142
STAR,6/7/2015,6.05,6.65,6.00,1476571
STANLY,6/7/2015,203.00,204.00,202.00,107040
STA,6/7/2015,12.60,12.80,12.60,1223805
SST,6/7/2015,15.50,15.90,15.50,150232
SSSC,6/7/2015,41.00,41.00,40.00,33700
SSI,6/7/2015,0.18,0.19,0.17,41175700
SSF,6/7/2015,9.10,9.10,8.90,200
SSC,6/7/2015,70.00,70.00,70.00,100
SRICHA,6/7/2015,26.00,26.50,26.00,180877
SPVI,6/7/2015,1.21,1.24,1.19,1170800
SPPT,6/7/2015,3.04,3.10,3.04,1735500
SPORT,6/7/2015,1.83,1.90,1.79,249000
SPF,6/7/2015,18.10,18.10,17.90,844410
SPCG,6/7/2015,26.00,26.25,26.00,437305
SPALI,6/7/2015,17.80,18.00,17.70,13969571
SPACK,6/7/2015,2.54,2.56,2.48,111500
SPA,6/7/2015,7.75,7.95,7.50,1895900
SORKON,6/7/2015,81.00,82.00,81.00,15600
SOLAR,6/7/2015,16.30,16.60,16.20,3149021
SNC,6/7/2015,15.70,15.70,15.50,159800
SMT,6/7/2015,11.40,11.50,11.30,4513000
SMM,6/7/2015,1.84,1.88,1.84,15100
SMIT,6/7/2015,4.42,4.42,4.30,19400
SMART,6/7/2015,2.88,2.92,2.82,233600
SLP,6/7/2015,1.61,1.68,1.61,9791859
SKR,6/7/2015,69.00,69.00,68.50,7700
SITHAI,6/7/2015,2.40,2.48,2.40,3637757
SIS,6/7/2015,4.20,4.24,4.18,270754
SIRI,6/7/2015,1.77,1.77,1.75,19367732
SINGER,6/7/2015,13.50,13.80,13.40,582300
SIMAT,6/7/2015,5.15,5.35,5.10,2985868
SIM,6/7/2015,2.24,2.28,2.24,1978500
SIAM,6/7/2015,3.48,3.54,3.30,4896734
SGP,6/7/2015,10.50,10.80,10.50,1733600
SF,6/7/2015,5.65,5.75,5.65,2783846
SENA,6/7/2015,3.74,3.80,3.74,3265498
SE-ED,6/7/2015,6.00,6.00,5.95,562960
SEAOIL,6/7/2015,8.55,8.75,8.55,260972
SEAFCO,6/7/2015,11.10,11.50,11.10,3482553
SCP,6/7/2015,9.50,9.50,9.30,566900
SCN,6/7/2015,14.20,14.50,14.10,4757700
SCG,6/7/2015,5.85,5.85,5.80,7000
SCCC,6/7/2015,364.00,368.00,363.00,94921
SCC,6/7/2015,516.00,520.00,516.00,567488
SCB,6/7/2015,150.00,151.50,149.50,5668483
SC,6/7/2015,3.18,3.22,3.18,932291
SAUCE,6/7/2015,24.50,24.80,24.50,2300
SAWAD,6/7/2015,38.75,39.50,38.75,1178211
SAT,6/7/2015,18.20,18.40,18.00,711700
SAPPE,6/7/2015,30.00,30.50,30.00,69600
SANKO,6/7/2015,1.71,1.75,1.67,2661600
